败兵	乱兵
俘虏	俘
人质	质子
违反者	违者
不合格者	不符合条件者
输家	失败者
旅客	客人
过路人	过客
游人	游客
乘客	司乘人员
参观者	观赏者
亲戚	亲属
外戚	远房
血亲	宗亲
姻亲	亲家
眷属	亲属
女眷	内眷
侨眷	侨属
曾祖	曾祖父
曾祖母	老奶奶
祖父	太爷
祖母	奶奶
叔祖	叔公
叔祖母	叔婆
外祖父	外公
外祖母	外婆
父	父亲
令尊	老太爷
继父	后爹
养父	义父
先父	先人
母	母亲
令堂	老太太
家母	老母
庶母	姨娘
继母	后母
养母	义母
父母	双亲
保护者	保护人
父子	爷儿俩
伯父	伯
伯母	大妈
叔父	叔
叔母	婶
姑父	姑夫
姑母	姑
姨父	姨夫
姨母	姨
舅父	舅
舅母	舅妈
公婆	姑舅
公公	公
婆婆	婆母
岳父	岳丈
岳母	丈母
夫	丈夫
老伴	老头子
郎	郎君
妻	妻子
内人	拙荆
嫂夫人	尊夫人
发妻	元配
填房	继配
妾	小
夫妻	夫妇
鸳鸯	鸾凤
配偶	偶
兄	兄长
长兄	大哥
家兄	胞兄
弟	弟弟
堂哥哥	堂兄
师哥	师兄
兄弟	弟兄
同胞	亲兄弟
表兄弟	老表
姐	阿姐
妹	阿妹
姐妹	姊妹
连襟	连袂
嫂子	嫂
弟妇	弟妹
姐夫	姊夫
妹夫	妹婿
妻舅	舅子
内兄	大舅子
内弟	小舅子
姑	姑娘
大姑	大姑子
小姑	小姑子
大姨	大姨子
子	儿子
养子	义子
继子	继嗣
小儿	犬子
令郎	少爷
女	女儿
令爱	千金
养女	义女
子女	儿女
心肝	宝贝
独子	独生子
双胞胎	孪生子
混血儿	混血种
媳妇	媳
女婿	婿
佳婿	乘龙快婿
赘婿	招女婿
姑老爷	姑爷
侄	侄子
侄女	表侄女
甥	外甥
甥女	外甥女
孙	孙子
曾孙	重孙
曾孙女	重孙女
外孙	外孙子
鼻祖	始祖
创始人	开山
前人	先驱
引进者	推荐者
今人	时人
一代人	当代人
后人	后代
古人	原人
祖宗	祖上
长辈	长上
父辈	大伯
大妈	大娘
侪	同龄人
晚辈	晚
子孙	子嗣
受益者	受益人
朋友	友人
好友	挚友
旧交	旧友
新交	新知
难友	患难之交
益友	诤友
世交	世谊
诸亲好友	亲友
教友	校友
恩人	恩公
仇人	敌人
死敌	死对头
外敌	外寇
残敌	穷寇
夙仇	夙敌
对手	对方
自己人	知心人
外人	局外人
邻居	邻人
一伙	一伙子
一路货	狐群狗党
同伴	同伙
伙计	搭档
同道	同调
合作者	合作方
把兄弟	拜把兄弟
同学	同窗
学长	学兄
同事	同人
同僚	袍泽
主人	主
主妇	管家婆
寄主	宿主
客人	宾客
贵宾	上宾
男宾	男客
宾主	主客
接受方	接受者
顾客	主顾
购买者	买客
消费群	购买群
成员	分子
人马	队伍
党徒	党羽
私党	死党
上级	上司
下级	部下
平级	同级
助手	副手
参谋	顾问
靠山	后台
师傅	师父
师母	师娘
徒弟	徒
物主	主人
屋主	房东
收信人	接收者
寄卡人	寄信人
主持人	主席
司仪	打理
与会者	到会者
演讲者	讲话者
专人	专差
特派员	全权代表
钦差大臣	钦差
代表	代办
代言人	发言人
见证人	见证
保证人	保人
中间人	中人
调解人	调人
仲裁人	鉴定者
证婚	证婚人
被告人	被上诉人
举报者	举报人
介绍人	引线人
媒人	媒介
男傧相	伴郎
伴娘	喜娘
中介	中介人
新郎	新人
新娘	新娘子
情人	情侣
男朋友	情郎
女朋友	女友
姘头	相好
情夫	姘夫
情妇	姘妇
王八	乌龟
英雄	豪杰
有志者	有志之士
硬汉	硬骨头
烈士	先烈
勇士	武士
侠客	侠
懦夫	胆小鬼
懒汉	懒虫
好人	明人
君子	高人
圣贤	圣
先贤	先哲
元老	长者
坏人	歹人
小人	小丑
土棍	地痞
恶霸	霸
豪强	豪门
豺狼	魔鬼
暴徒	强暴
奸邪	奸人
野心家	奸雄
独裁者	独夫
老好人	好人
凶人	凶神
泼妇	悍妇
伪君子	假道学
滑头	油子
吝啬鬼	守财奴
市侩	势利眼
造假者	弄虚作假者
孝子	孝子贤孙
逆子	孽障
贞妇	烈女
荡妇	淫妇
骚货	妖精
浪子	败家子
色鬼	色情狂
老顽固	死顽固
学究	腐儒
急性子	直性子
炮筒子	大炮
慢郎中	慢性子
话匣子	碎嘴子
应声虫	尾巴
馋嘴	馋猫子
夜游神	夜猫子
怪人	怪物
知识分子	文化人
文弱书生	白面书生
学者	鸿儒
作家	大作家
诗人	词人
诗仙	诗圣
画家	画师
寒士	措大
书呆子	老夫子
文痞	文侩
文盲	睁眼瞎子
大老粗	土包子
内行	行家
专家	专门家
识途老马	宿将
骨干	基干
外行	门外汉
生手	新手
俊杰	豪杰
人杰	翘楚
人才	材
女将	巾帼英雄
能手	能人
多面手	通才
新秀	后起之秀
庸中佼佼	强者
高才生	七步之才
聪明人	智者
明眼人	有识之士
机灵鬼	猴儿
笨伯	笨蛋
饭桶	草包
傻子	傻瓜
庸人	庸才
绣花枕头	纸老虎
半瓶醋	二百五
浑蛋	混蛋
活宝	宝贝
糊涂虫	糊涂蛋
模范	标兵
劳模	劳动模范
先锋	急先锋
功臣	元勋
爱好者	发烧友
教徒	信徒
佛	菩萨
沙门	僧尼
僧徒	僧侣
尼姑	尼
禅师	活佛
住持	方丈
道教徒	道徒
道士	法师
伊斯兰教徒	回教徒
天主教徒	天主
枢机主教	红衣主教
神甫	神父
耶稣教徒	基督徒
反动派	反革命
反派	反面人物
匪帮	匪徒
刽子手	屠夫
战争贩子	战争狂人
叛徒	内奸
卖国贼	国贼
奸贼	贼
儿皇帝	傀儡
罪犯	罪人
死囚	死刑犯
凶犯	凶手
主犯	要犯
从犯	同谋犯
逃犯	在逃犯
教唆犯	教唆者
窝主	窝家
嫌疑人	疑凶
强盗	盗
匪首	盗魁
草寇	绿林
殖民者	殖民主义者
窃贼	贼
惯贼	惯窃
盗码者	黑客
剽窃者	盗卖者
侠盗	家贼
入侵者	征服者
流氓	痞子
二流子	浪子
骗子	拐子
投机商	奸商
毒贩	毒枭
走狗	狗腿子
赌徒	赌棍
酒徒	大户
烟鬼	隐君子
妓女	妓
艺妓	摇钱树
暗娼	私娼
男妓	相公
鸨母	鸨儿
龟奴	乌龟
嫖客	孤老
物	实物
物质	质
占有物	专有物
物体	体
整体	通体
晶体	晶
水晶体	晶状体
绝缘体	非导体
机体	有机体
等价物	同系物
附属物	附着物
样片	抽样
硝酸	王水
醋酸	乙酸
烧碱	火碱
碳酸钠	大苏打
硫酸铜	胆矾
明矾	白矾
硅	单晶硅
硫磺	硫
蛋白胨	蛋白质
正离子	阳离子
等离子	等离子体
生物	底栖生物
动物	众生
温血动物	常温动物
冷血动物	变温动物
节肢动物	甲壳动物
线形动物	圆形动物
植物	植被
阳性植物	喜光植物
作物	农作物
大秋作物	晚秋作物
越冬作物	过冬作物
青苗	青
微生物	菌物
动植物	飞潜动植
物品	品
必需品	用品
给养	补给
摆设	陈设
纪念品	纪念物
奖品	奖
杂物	杂品
古物	老古董
遗物	旧物
失物	遗
证物	信物
赝品	赝鼎
抵押品	当头
违禁品	禁制品
赃物	赃
易燃物品	易燃物
工件	作件
部件	元件
备件	附件
货物	商品
百货	小百货
下脚货	残货
国货	国产货
进口货	来路货
冷货	冷冻货
私货	黑货
优质品	优等品
产品	出品
粗制品	半制品
副品	次品
仿制品	复制品
试用品	试制品
出产	物产
水产	渔产
土产	土特产
器具	器物
器皿	容器
酒器	酒具
喷头	莲蓬头
锚	铁锚
电烙铁	烙铁
电熨斗	熨斗
消火栓	消防栓
设备	装置
物资	战略物资
材料	料
原料	原材料
香料	香
生活资料	消费资料
柴米油盐	油盐酱醋
家具	家电
礼品	礼物
贺礼	贺仪
薄礼	小意思
聘礼	彩礼
贡品	贡
祭礼	赙仪
嫁妆	妆奁
祭品	贡品
宝物	宝贝
宝	珍玩
宝藏	矿藏
传家宝	家珍
废物	废料
矿物	矿产
担子	挑子
包裹	包袱
它	她
什么	那些
锭	砖
块	丁
粉	粉末
沙	沙子
点	点子
粒	豆子
堆	垛
把	把子
球	团
轮	饼
片	片子
箔	膜
草屑	木屑
筒	管
洞	窍
棒	棍
焊条	焊丝
钩	钩子
鱼钩	渔钩
网	网络
蜘蛛网	蛛网
波	浪
表面波	音波
顶	颠
端	头
鸡冠	鸡冠子
炕头	床头
底	根
末尾	末梢
边	沿
角	棱角
面	面子
正	正面
外表	外边
外壳	壳
反面	背面
侧面	侧
南侧	南端
东侧	东端
北侧	北端
外围	外层
脊	棱
身	体
膛	腹
帮	壁
颈	脖
骨架	骨子
框	框子
盖	盖子
塞	塞子
杆	梗
柄	托
把	把手
拉手	扳手
刀把	刀柄
嘴	门
座	座子
脚	腿
翼	翅
挡	栅
心	芯
宇宙	天体
星辰	星斗
星座	座
银河	天河
金星	太白星
火星	荧惑
木星	岁星
土星	镇星
织女星	织女
牵牛星	牵牛
北斗星	斗
北极星	北辰
彗星	扫帚星
老人星	寿星
流星	贼星
太阳	阳
朝阳	旭
夕阳	斜阳
骄阳	烈日
太阳黑子	黑子
月亮	月球
朔月	新月
新月	月牙
满月	望月
皎月	皓月
日月	大明
地球	地
寰球	寰宇
陆地	大陆
低地	洼地
荒地	沙荒
生荒	生地
盐碱地	碱地
雪域	雪地
原野	旷野
平原	平地
草原	草地
淤地	沼泽
沙漠	漠
岛屿	岛
沙洲	三角洲
滩	沙滩
岸	岸边
山	山脊
青山	苍山
高山	岳
山冈	山包
土山	丘
峦	峰峦
山顶	山头
山脚	山麓
山脊	山梁
山谷	谷
山崖	崖
童山	秃岭
山间	山野
西北麓	北麓
坡	斜坡
山坡	阪
缓坡	慢坡
荒山坡	荒坡
海洋	大海
远洋	重洋
洋流	海流
大陆架	陆棚
内海	内陆海
濒海	海边
江河	江
小河	浜
护城河	城池
岔流	汊流
主流	干流
支流	港
河床	河道
河曲	流觞曲水
巨流	洪流
急流	激流
暗流	伏流
溪涧	山涧
水沟	河沟
湖泊	湖
咸水湖	盐湖
池塘	池沼
粪池	化粪池
泥坑	泥潭
潭	潭水
湖泽	湖沼
泉水	泉
喷泉	飞泉
温泉	汤泉
瀑布	飞瀑
废墟	瓦砾
雨	雨水
雨点	雨脚
小雨	毛毛雨
大雨	豪雨
骤雨	暴雨
阵雨	雷阵雨
霖雨	霖
黄梅雨	梅雨
喜雨	甘雨
雪	雪花
粒雪	雪球
雹	冰雹
冰	冰凌
冰锥	冰柱
冰块	冰碴
大风	疾风
飓风	台风
微风	软风
清风	雄风
和风	熏风
寒风	阴风
热风	焚风
东风	谷风
南风	熏风
西风	大风
北风	凉风
西南风	凉风
逆风	打头风
旋风	羊角
信风	贸易风
狂风暴雨	暴风骤雨
凄风苦雨	苦雨凄风
过堂风	穿堂风
沙尘暴	沙暴
晚风	夜风
云	云彩
云气	霭
阴云	彤云
彩云	云霞
庆云	祥云
露	露水
严霜	冷霜
虹	彩虹
副虹	霓
霞	彤云
烟	烟雾
雾	雾气
云雾	烟霭
雷	霹雳
炸雷	焦雷
闪电	电
潮汛	潮信
流水	清流
洪水	洪流
深渊	渊
积水	沥水
开水	滚水
生水	凉水
泔水	米泔水
水滴	水珠
培养液	营养液
春水	绿水
汁	汁液
浆	浆液
泡	泡沫
水泡	沤
卵泡	气泡
波浪	波
大浪	澜
涟漪	鳞波
漩涡	涡流
野火	天火
篝火	营火
磷火	鬼火
火焰	火苗
外焰	氧化焰
内焰	还原焰
烈火	大火
星火	微火
烟火	焰火
烽火	烽烟
光	光线
日光	阳光
曙光	晨光
落照	残照
月光	月色
灯光	灯火
白炽	白热
红外线	红外光
紫外线	紫外光
偏光	偏振光
影	影子
人影儿	身影
背影	后影
电	电老虎
正电	阳电
负电	阴电
感生电流	感应电流
电波	电磁波
无线电波	高频电波
磁共振	核磁共振
气	气体
空气	大气
冷气	凉气
暖气	热气
氧气	氧
氢气	氢
氮气	氮
氯气	氯
氨气	氨
碳酸气	碳酐
